Metric,Value
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.47251781602693577
timing__hold__ws__corner:max_ff_n40C_1v95,0.07898537603088374
timing__setup__ws__corner:max_ff_n40C_1v95,17.425638314419388
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.078985
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,28.522493
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,447
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,447
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79875
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00124753
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00130548
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000115467
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00130548
design_powergrid__voltage__worst,0.00130548
design_powergrid__voltage__worst__net:vccd1,1.79875
design_powergrid__drop__worst,0.00130548
design_powergrid__drop__worst__net:vccd1,0.00124753
design_powergrid__voltage__worst__net:vssd1,0.00130548
design_powergrid__drop__worst__net:vssd1,0.00130548
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00011699999999999999788190263583231853772304020822048187255859375
ir__drop__worst,0.00125000000000000002602085213965210641617886722087860107421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
